case_number,date,year,type,country,area,activity,fatal,species,pdf
1980.07.26,26-Jul-1980,1980,Unprovoked,SPAIN,Canary Islands,Skin diving,N,Blue shark,1980.07.26-Escualo.pdf
1980.07.27,27-Jul-1980,1980,Unprovoked,USA,New Jersey,Body surfing,N,,1980.07.27-Moffat.pdf
1980.07.23,23-Jul-1980,1980,Unprovoked,USA,Delaware,Standing,N,4' to 8' shark,1980.07.23-PhyllisRidley.pdf
1980.07.00,Late Jul-1980,1980,Unprovoked,USA,North Carolina,Surfing,N,,1980.07.00-NCsurfer.pdf
1980.07.00,Early Jul-1980,1980,Unprovoked,USA,Florida,Surfing,N,,1980.07.00-Durrance.pdf
1980.06.26,26-Jun-1980,1980,Provoked,USA,California,Scuba diving,N,Blue shark,1980.06.26-ValTaylor.pdf
1980.05.15,15-May-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,1.8 m [6'] shark,1980.05.15-Stedman.pdf
1980.04.25,25-Apr-1980,1980,Provoked,JAMAICA,St. Mary's Parish,Spearfishing,N,,1980.04.25-Venus.pdf
1980.04.22,22-Apr-1980,1980,Sea Disaster,PHILIPPINES,Romblon Province,Sinking of the ferryboat Don Juan,Y,,1980.04.22-DonJuan.pdf
1980.04.00,Apr-1980,1980,Unprovoked,MEXICO,Sinaloa,Body surfing,N,Tiger shark,1980.04.00-Giambalvo-Sprague.pdf
1980.03.29,29-Mar-1980,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Free diving,Y,Tiger shark,1980.03.29-RayBooth.pdf
1980.03.28,28-Mar-1980,1980,Unprovoked,BRAZIL,Rio de Janeiro,Swimming,N,2 m shark,1980.03.28-JM.pdf
1980.03.15,15-Mar-1980,1980,Sea Disaster,PHILIPPINES,,Sinking of the ferryboat Bongbong 1,Y,,1980.03.15-Bongbong1.pdf
1980.03.11,11-Mar-1980,1980,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,N,1.5 m [5'] hammerhead shark,1980.03.11-Binneman.pdf
1980.01.31,31-Jan-1980,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,N,"2.8 m [9'3""] white shark",1980.01.31-Wright.pdf
1980.01.25,25-Jan-1980,1980,Unprovoked,KENYA,Lamu Archipelago,Spearfishing,N,2.2 m shark,1980.01.25-Richard.pdf
1980.01.15,15-Jan-1980,1980,Provoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,N,"2 m [6'9""] Zambesi shark",1980.01.15-Winkworth.pdf
1980.01.13,13-Jan-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,N,Hammerhead shark,1980.01.13-Clarke.pdf
1980.01.10,10-Jan-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,N,"Raggedtooth shark, 2 m [6'9""] ",1980.01.10-Austin.pdf
1980.01.05,05-Jan-1980,1980,Unprovoked,CHILE,Los Vilos,Hookah Diving,Y,White shark,1980.01.05-Miranda.pdf
1980.00.00.d,Summer 1980,1980,Provoked,NORTH ATLANTIC OCEAN,,Gaffing netted shark,N,1.8 m [6'] dogfish,1980.00.00.d-Hallett.pdf
1980.00.00.c,1980s ,1980,Invalid,GREECE,Island of Kos,Surfing,UNKNOWN,Said to involve a white shark but shark involvement not confirmed,1980.00.00.c-NV-Greece.pdf
1980.00.00.b,1980,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Spearfishing,UNKNOWN,Invalid,1980.00.00.b-Mitchley.pdf
1980.00.00.a,1980s ,1980,Unprovoked,TONGA,Ha'api,Spearfishing,N,,1980.00.00.a-Tonga.pdf
1979.12.21,21-Dec-1979,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,N,,1979.12.21-Shemaly.pdf
1979.12.00,05-Dec-1979,1979,Invalid,PORTUGAL,Madeira Islands,Spearfishing,Y,White shark?,1979.12.00-Madeira.pdf
1979.12.01, 01-Dec-1979,1979,Unprovoked,SOUTH CHINA SEA,,Diving,N,6' shark,1979.12.01-Lee.pdf
1979.11.27,27-Nov-1979,1979,Unprovoked,USA,Oregon,Surfing,N,"White shark, 4 m [13'] ",1979.11.27-KennyDoudt_Collier.pdf
1979.11.12,12-Nov-1979,1979,Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,N,"White shark, 5 m ",1979.11.12-ski-boat.pdf
1979.10.22,22-Oct-1979,1979,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,N,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed ",1979.10.22-Dorfling.pdf
1979.09.14,14-Sep-1979,1979,Unprovoked,AUSTRALIA,New South Wales,Scuba diving,N,"""a small shark""",1979.09.14-Oliver.pdf
1979.08.28,28-Aug-1979,1979,Unprovoked,HONG KONG,,Freedom swimming,Y,,1979.08.28-HongKong.pdf
1979.08.26,26-Aug-1979,1979,Unprovoked,HONG KONG,Ho Ha Wan Marine Park,,Y,,1979.08.26-NV-HongKong.pdf
1979.08.05,05-Aug-1979,1979,Unprovoked,USA,Florida,Kayaking,N,,1979.08.05-Seiner.pdf
1979.08.03,03-Aug-1979,1979,Unprovoked,THAILAND,Southern Thailand,Murdered by Thai pirates,Y,,1979.08.03.R-Pirates.pdf
1979.06.19,19-Jun-1979,1979,Sea Disaster,USA,Florida,Floating with life preserver after his boat foundered,N,,1979.06.19-Shaw.pdf
1979.05.27,27-May-1979,1979,Invalid,USA,Florida,Scuba diving,UNKNOWN,Shark involvement prior to death was not confirmed,1979.05.27-Neel.pdf
1979.05.05,05 May 1979,1979,Provoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"White shark, 2.5 m [8.25']  ",1979.05.05-Boonzaaier.pdf
1979.05.03,03-May-1979,1979,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,Y,,1979.05.03-Symons.pdf
1979.05.00.c,May 1979,1979,Unprovoked,NEW CALEDONIA,North Province,Fishing,N,,1979.05.00.c-fisherman-Yande.pdf
1979.05.00.b,May 1979,1979,Unprovoked,NEW CALEDONIA,North Province,,Y,2 m shark,1979.05.00.b-Teanyouen.pdf
1979.04.08.b,08-Apr-1979,1979,Unprovoked,USA,Florida,Swimming,N,,1979.04.08.b-Beekler.pdf
1979.04.08.a,08-Apr-1979,1979,Unprovoked,USA,Florida,Body surfing,N,,1979.04.08.a-Kennedy.pdf
1979.03.24,24-Mar-1979,1979,Unprovoked,USA,Florida,Surfing,N,Blacktip or spinner shark,1979.03.24-Stewart.pdf
1979.03.11,11-Mar-1979,1979,Unprovoked,USA,California,Scuba diving (submerged),N,"White shark, 4 m to 5 m [13' to 16.5'] ",1979.03.11-CalvinSloan_Collier.pdf
1979.03.01,01-Mar-1979,1979,Boat,SOUTH AFRICA,Western Cape Province,,N,,1979.03.01-NV-SealIslandboat.pdf
1979.03.00,Mar-1979,1979,Unprovoked,NEW CALEDONIA,Grand Terre,Spearfishing,Y,,1979.03.00-Teau.pdf
1979.02.21,21-Feb-1979,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Surfing, collided with shark",N,1.5 m to 2 m [5' to 6.75'] shark,1979.02.21-Kantor.pdf
1979.00.00,1979,1979,Unprovoked,USA,Hawaii,Fishing,Y,,1979.00.00-ElderlyMale.pdf
1978.12.29,29-Dec-1978,1978,Unprovoked,AUSTRALIA,Queensland,,N,,1978.12.29-Brown.pdf
1978.12.12,12-Dec-1978,1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,Y,"White shark, 2.3 m [7.5'], tooth fragment recovered",1978.12.12-Steenkamp.pdf
1978.11.26,26-Nov-1978,1978,Unprovoked,USA,Hawaii,Surfing,N,2.4 m [8'] shark,1978.11.26-Cabunoc.pdf
1978.11.23,23-Nov-1978,1978,Unprovoked,USA,Florida,Surfing,N,,1978.11.23-Alvarez.pdf
1978.10.21,21-Oct-1978,1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,Fishing,UNKNOWN,Shark involvement prior to death was not confirmed,1978.10.21-Kuppasamy.pdf
1978.09.27,27-Sep-1978,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"White shark, 3.7 m [12'] ",1978.09.27-Lombard.pdf
1978.09.16,16-Sep-1978,1978,Unprovoked,ITALY,Tyrrhenian Sea,Diving,N,"White shark, 5 m [16.5'] ",1978.09.16-Marini.pdf
1978.09.02.R,Reported 02-Sep-1978,1978,Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,N,15' shark,1978.09.02.R-Scott.pdf
1978.08.05,05-Aug-1978,1978,Unprovoked,USA,California,Wading,N,"2 m [6'9""] shark",1978.08.05-DuNah_Collier.pdf
1978.08.01.R,Reported 01-Aug-1978,1978,Unprovoked,USA,Florida,Floating on inner tube raft,N,,1978.08.01.R-Cordoba.pdf
1978.07.27,27-Jul-1978,1978,Sea Disaster,USA,South Carolina,"Explosion destroyed 28' boat, survivors in the water ",N,,1978.07.27-Boger.pdf
1978.07.19,19-Jul-1978,1978,Provoked,USA,California,Fishing,N,,1978.07.19-Griffet.pdf
1978.06.21.b,21-Jun-1978,1978,Unprovoked,USA,Florida,Surfing,N,,1978.06.21.b-Hunt.pdf
1978.06.21.a,21-Jun-1978,1978,Unprovoked,USA,Florida,Surfing,N,,1978.06.21.a-Shelton.pdf
1978.06.07,07-Jun-1978,1978,Invalid,ITALY,Golfo de Venezia,,UNKNOWN,Invalid,1978.06.07-Platform.pdf
1978.04.02.b,02-Apr-1978,1978,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,N,,1978.04.02.b-Light.pdf
1978.04.02.a,02-Apr-1978,1978,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,N,,1978.04.02.a-DeGruy.pdf
1978.04.00,Apr-1978`,1978,Unprovoked,AUSTRALIA,Tasmania,Scuba diving,N,"Sevengill shark, 2.4 m",1978.04.00-Wrankmore.pdf
1978.03.05,05-Mar-1978,1978,Boat,SOUTH AFRICA,Eastern Cape Province,,N,,1978.03.05-GuluDeep.pdf
1978.02.28,28-Feb-1978,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing for mackerel,N,270 kg shark,1978.02.28-PendleburyBoat.pdf
1978.02.19,19-Feb-1978,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,Diving,N,White shark,1978.02.19-NickyAlberts.pdf
1978.01.17,07-Jan-1978,1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,N,Thought to involve a blacktip shark,1978.01.17-Evans.pdf
1978.01.06,06-Jan-1978,1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,,UNKNOWN,Shark involvement prior to death was not confirmed,1978.01.06.R-CapeVidal.pdf
1978.00.00.b,1978,1978,Unprovoked,USA,Florida,Surfing,N,,1978.00.00.b-Cranston.pdf
1978.00.00.a,1978,1978,Unprovoked,VANUATU,Malampa Province,Swimming,Y,,1978.00.00.a-Bong.pdf
1977.12.31,31-Dec-1977,1977,Sea Disaster,USA,Hawaii,"Swimming, after single-engine aircraft went down in the sea",N,,1977.12.31-Corbett.pdf
1977.12.19.b,19-Dec-1977,1977,Unprovoked,USA,Florida,Surfing,N,,1977.12.19.b-Brockway.pdf
1977.12.19.a,19-Dec-1977,1977,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"Tiger shark, 3 m [10']",1977.12.19.a-Pearce.pdf
1977.12.00,Dec-1977,1977,Boat,SOUTH AFRICA,Western Cape Province,Fishing for bottom fish,N,3 m [10'] white shark (Tooth  recovered from boat),1977.12.00-Schoeman.pdf
1977.11.12,12-Nov-1977,1977,Provoked,SOUTH AFRICA,Western Cape Province,Standing,N,1.5 to 2 m [5' to 6.75'] shark,1977.11.12-KleinRiver.pdf
1977.10.30,30-Oct-1977,1977,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"White shark, 5 m [16.5'] ",1977.10.30-Hartman.pdf
1977.08.31,31-Aug-1977,1977,Unprovoked,AUSTRALIA,South Australia,Surfing,N,White shark,1977.08.31-Horley.pdf
1977.08.23,23-Aug-1977,1977,Unprovoked,AUSTRALIA,Queensland,Floating on an inflatable raft,Y,,1977.08.23-Walter.pdf
1977.08.19,19-Aug-1977,1977,Boat,SOUTH AFRICA,Western Cape Province,Fishing,N,White shark,1977.08.19-Mamacos.pdf
1977.08.14,14-Aug-1977,1977,Unprovoked,USA,California,Free diving for abalone (surfacing),N,"White shark, 5.5 m to 6 m [18' to 20']  ",1977.08.14-Friendman_Collier.pdf
1977.08.05,05-Aug-1977,1977,Invalid,USA,Florida,Wading,UNKNOWN,Shark involvement not confirmed,1977.08.05-Muradian.pdf
1977.07.02,02-Jul-1977,1977,Sea Disaster,USA,California,40' fishing boat sank,N,,1977.07.02-Posey.pdf
1977.06.26,26-Jun-1977,1977,Provoked,USA,Florida,Spearfishing / Scuba diving,N,"Bull shark, 8",1977.06.26-WillieWhite.pdf
1977.06.06,06-Jun-1977,1977,Unprovoked,USA,Texas,Collecting fish from net,N,"Bull shark, 4' to 5' ",1977.06.06-Baen.pdf
1977.05.26,26-May-1977,1977,Boat,SOUTH AFRICA,Western Cape Province,Fishing for yellowtail,N,"Mako shark, 2.3 m, 150-kg  ",1977.05.26-Lombard.pdf
1977.05.16,16-May-1977,1977,Invalid,AUSTRALIA,Queensland,,UNKNOWN,,1977.05.16-NV-Gibbs.pdf
1977.04.26,26-Apr-1977,1977,Unprovoked,AUSTRALIA,Queensland,,N,,1977.04.26-Jones.pdf
1977.04.21,21-Apr-1977,1977,Unprovoked,USA,Hawaii,Swimming,N,1.2 m [4'] shark,1977.04.21-Vest.pdf
1977.03.17,17-Mar-1977,1977,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,N,,1977.03.17-Lund.pdf
1977.03.13.c,13-Mar-1977,1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",N,,1977.03.13.c-Harrison.pdf
1977.03.13.b,13-Mar-1977,1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Y,,1977.03.13.b-Beaver.pdf
1977.03.13.a,13-Mar-1977,1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Y,,1977.03.13.a-Hayes.pdf
1977.02.26,26-Feb-1977,1977,Unprovoked,AUSTRALIA,New South Wales,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",N,4 m [13'] shark,1977.02.26-Howard.pdf
1977.02.04,04-Feb-1977,1977,Invalid,AUSTRALIA,Victoria,,UNKNOWN,Shark involvement prior to death was not confirmed,1977.02.04-Sorrento.pdf
1977.02.00,Feb-1977,1977,Unprovoked,NEW CALEDONIA,,,N,,1977.02.00-Blanchet.pdf
1977.01.00,Jan-1977,1977,Unprovoked,MEXICO,Guerrero,Swimming,Y,,1977.01.00-MexicanMale.pdf
1976.12.29,29-Dec-1976,1976,Unprovoked,AUSTRALIA,Queensland,,N,,1976.12.29-Archall.pdf
1976.12.18,18-Dec-1976,1976,Unprovoked,USA,California,Hookah diving for abalone (submerged),N,"White shark, 5.5 m [18'] ",1976.12.18-Worrell_Collier.pdf
1976.11.27,27-Nov-1976,1976,Unprovoked,SOUTH AFRICA,Western Cape Province,"Thrashing the water / imitating the shark victim from ""Jaws""",N,"White shark, 3 m [10'] k",1976.11.27-Spence.pdf
1976.11.26,26-Nov-1976,1976,Invalid,AUSTRALIA,Queensland,,UNKNOWN,Shark involvement prior to death was not confirmed,1976.11.26-NV-vanRyseen.pdf
1976.11.25,25-Nov-1976,1976,Unprovoked,USA,Florida,Surfing,N,2.1 m [7'] lemon shark or bull shark,1976.11.25-Brenneka.pdf
1976.11.23,23-Nov-1976,1976,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,UNKNOWN,Questionable incident,1976.11.23-Jackson.pdf
1976.11.06,Nov-1976,1976,Provoked,SOUTH AFRICA,Western Cape Province,Fishing for white shark,N,"White shark, 4.8 m ",1976.11.06-Schoeman.pdf
1976.10.27,27-Oct-1976,1976,Boat,SOUTH AFRICA,Western Cape Province,Boat,N,White shark,1976.10.27-AlremahII.pdf
1976.10.18,18-Oct-1976,1976,Unprovoked,USA,California,Surfing,N,"White shark, 3 m to 4 m [10' to 13'] ",1976.10.18-Kennedy_Collier.pdf
1976.10.06,06-Oct-1976,1976,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",1976.10.06-Flanagan.pdf
1976.09.22,22-Sep-1976,1976,Sea Disaster,NEW CALEDONIA,,Shipwreck,N,,1976.09.22-NewCaledoniaBoat.pdf
1976.09.19,19-Sep-1976,1976,Unprovoked,AUSTRALIA,South Australia,"Skindiving,",N,2.7 m  [9'] shark,1976.09.19-Richardson.pdf
1976.09.17,17-Sep-1976,1976,Sea Disaster,HONG KONG,South China Sea 200 miles from Hong Kong,"3,909-ton Panamanian freighter Chieh Lee sank in a typhoon",Y,,1976.09.17-sailor.pdf
1976.09.12.b,12-Sep-1976,1976,Unprovoked,USA,Florida,Swimming,Y,,1976.09.12.b-Michael-Karras.pdf
1976.09.12.a,12-Sep-1976,1976,Unprovoked,USA,Florida,Swimming,Y,,1976.09.12.a-Ricky-Karras.pdf
1976.09.06,06-Sep-1976,1976,Unprovoked,USA,Florida,Surfing,N,"Tiger shark, 6' ",1976.09.06-Ferrer.pdf
1976.08.26,26-Aug-1976,1976,Unprovoked,USA,North Carolina,"Surfing, fell off surfboard",N,,1976.08.26-RandyHall.pdf
1976.08.24,24-Aug-1976,1976,Unprovoked,USA,Oregon,Surfing,N,"White shark, 4.5 m ",1976.08.24-Shook_Collier.pdf
1976.07.24,24-Jul-1976,1976,Unprovoked,USA,Florida,Spearfishing,N,,1976.07.24-Cook.pdf
1976.07.21,21-Jul-1976,1976,Unprovoked,USA,Louisiana,Playing,N,,1976.07.21-Ratigan.pdf
1976.07.16,16-Jul-1976,1976,Unprovoked,USA,Hawaii,Scuba diving,Y,,1976.07.16-Powell.pdf
1976.07.12,12-Jul-1976,1976,Unprovoked,USA,Florida,Spearfishing,N,6' to 8' shark,1976.07.12-Loughlin.pdf
1976.06.23,23-Jun-1976,1976,Unprovoked,USA,Florida,Skindiving,N,12' to 14' shark,1976.06.23-Maurer.pdf
1976.06.10,10-Jun-1976,1976,Unprovoked,USA,Hawaii,Swimming,N,0.9 m to 1.5 m [3' to 5'] shark,1976.06.10-Gard.pdf
1976.06.02.R,Reported 02-Jun-1976,1976,Provoked,ITALY,Reggio Calabria Province,Fishing,N,"Blue shark, 2m ",1976.06.02.R-Pelle.pdf
1976.06.01,01-Jun-1976,1976,Boat,AUSTRALIA,Queensland,Sitting in bow of her father's 5 m boat,N,1.5 m [5'] shark,1976.06.01-McMillan.pdf
1976.05.02,02-May-1976,1976,Boat,SOUTH AFRICA,Western Cape Province,Competing in a light tackle game fishing,N,"Mako shark, 180-kg [397-lb]",1976.05.02-McManus-boat.pdf
1976.04.28,28-Apr-1976,1976,Invalid,USA,Texas,,UNKNOWN,Shark involvement prior to death was not confirmed,1976.04.28-HumanRemains-Galveston.pdf
1976.03.12.b,12-Mar-1976,1976,Unprovoked,USA,Florida,Standing,N,,1976.03.12.b-GlenWright.pdf
1976.03.12.a,12-Mar-1976,1976,Boat,SOUTH AFRICA,Western Cape Province,Fishing,N,Whale shark,1976.03.12.a-Kruger-boat.pdf
1976.03.09,09-Mar-1976,1976,Boat,SOUTH AFRICA,Western Cape Province,,N,White shark named Spotty,1976.03.09-Stephanie.pdf
1976.03.02,02-Mar-1976,1976,Boat,SOUTH AFRICA,Western Cape Province,,N,White shark named Spotty,1976.03.02-Stephanie-boat.pdf
1976.02.03,03-Feb-1976,1976,Boat,SOUTH AFRICA,Western Cape Province,Shark watching,N,2.5 m [8.25'] white shark,1976.02.03-Suki-Saki.pdf
1976.01.13,13-Jan-1976,1976,Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,N,4 m [13'] shark,1976.01.13-catamaran.pdf
1976.01.12,12-Jan-1976,1976,Unprovoked,AUSTRALIA,Queensland,,N,,1976.01.12-Evler.pdf
1976.01.11,11-Jan-1976,1976,Provoked,SOUTH AFRICA,Western Cape Province,Fishing for snoek & yellowtail,N,"White shark, 3 m [10'] ",1976.01.11-Metoo.pdf
1976.01.08,08-Jan-1976,1976,Unprovoked,USA,Florida,Spearfishing / scuba diving,N,6' shark,1976.01.08-Greenberg.pdf
1976.01.02,02-Jan-1976,1976,Unprovoked,NEW ZEALAND,North Island,Spearfishing,Y,Bronze whaler shark,1976.01.02-Leith.pdf
1976.00.00.b,1976,1976,Unprovoked,USA,Hawaii,Scuba diving,Y,,1976.00.00.b-Nakaima.pdf
1975.12.29,29-Dec-1975,1975,Boat,AUSTRALIA,South Australia,Attempting to drive shark away from the beach,N,2.4 m [8'] shark,1975.12.29-RescueBoat.pdf
1975.12.06,06-Dec-1975,1975,Unprovoked,USA,California,Scuba diving & spearfishing,N,White shark,1975.12.06-Buckley_Collier.pdf
1975.12.02,02-Dec-1975,1975,Provoked,AUSTRALIA,New South Wales,Filming & feeding captive sharks,N,"Grey nurse shark, 10' ",1975.12.02-Strand.pdf
1975.11.19.b,19-Nov-1975,1975,Unprovoked,AUSTRALIA,New South Wales,Standing,N,5' shark,1975.11.19.b-Cole.pdf
1975.11.19.a,19-Nov-1975,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,N,Juvenile dusky shark,1975.11.19.a-VanDenBerg.pdf
1975.11.07,07-Nov-1975,1975,Unprovoked,AUSTRALIA,Queensland,,N,,1975.11.07-Haig.pdf
1975.11.02,02-Nov-1975,1975,Unprovoked,USA,Florida,Surfing,N,6' shark,1975.11.02-Hurst.pdf
1975.10.21,21-Oct-1975,1975,Invalid,USA,New Jersey,Surf fishing,UNKNOWN,Shark involvement unconfirmed,1975.10.21-SandyHook.pdf
1975.10.12,12-Oct-1975,1975,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,Bronze whaler,1975.10.12-Neale.pdf
1975.10.04,04-Oct-1975,1975,Invalid,USA,California,Surfing,UNKNOWN,Questionable incident,1975.10.04-NV-California.pdf
1975.09.00,Sep-1975,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paddleskiing,N,1.2 m [4'] shark,1975.09.00-Meehan.pdf
1975.08.17,17-Aug-1975,1975,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 2.4 m [8']",1975.08.17-Robertson.pdf
1975.08.12,12-Aug-1975,1975,Unprovoked,USA,Florida,Floating on a small orange raft ,N,1.5 m [5'] shark,1975.08.12-Peterson.pdf
1975.08.09,09-Aug-1975,1975,Unprovoked,USA,California,Free diving for abalone,N,White shark,1975.08.09-Brown_Collier.pdf
1975.08.04,04-Aug-1975,1975,Unprovoked,HONG KONG,Mirs Bay ,Freedom swimming,N,,1975.08.04-HongKong.pdf
1975.07.30.b,30-Jul-1975,1975,Sea Disaster,USA,Oregon,Sea disaster,Y,,1975.07.30.b-Conger.pdf
1975.07.30.a,30-Jul-1975,1975,Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,Y,White shark,1975.07.30.a-Slack.pdf
1975.07.26.b,26-Jul-1975.b,1975,Unprovoked,USA,Florida,Free diving,N,,1975.07.26.b-Cook.pdf
1975.07.26.a,26-Jul-1975,1975,Unprovoked,AUSTRALIA,Queensland,Surfing,N,12' shark,1975.07.26.a-Grace.pdf
1975.07.23,23-Jul-1975,1975,Unprovoked,USA,California,Scuba diving for abalone (at surface),N,"White shark, 5.8 m [19'] ",1975.07.23-Rebstock_Collier.pdf
1975.07.19,19-Jul-1975,1975,Unprovoked,USA,California,Hookah diving for abalone,N,"White shark, 5m to 6m",1975.07.19-Johnson.pdf
1975.07.15,15-Jul-1975,1975,Unprovoked,USA,Florida,Swimming,N,1.2 m [4'] shark,1975.07.15-BeverlyWhite-X.pdf
1975.07.05,5-Jul-1975,1975,Provoked,AUSTRALIA,Western Australia,Spearfishing,N,2.4 m [8'] whaler shark,1975.07.05-DennisThompson.pdf
1975.07.04,04-Jul-1975,1975,Unprovoked,USA,Florida,Surfing,N,,1975.07.04-Clark.pdf
1975.06.23.b,23-Jun-1975,1975,Unprovoked,USA,South Carolina,Swimming ,N,4' shark,1975.06.23.b-Krents.pdf
1975.06.23.a,23-Jun-1975,1975,Unprovoked,USA,South Carolina,Standing,N,,1975.06.23.a-Hutson.pdf
1975.06.15,15-Jun-1975,1975,Unprovoked,USA,Alabama,Swimming near his boat,N,,1975.06.15-Daniels.pdf
1975.06.02.R,Reported 02-Jun-1975,1975,Unprovoked,USA,Florida,Surfing,N,,1975.06.02.R-Hanrahan.pdf
1975.06.00.c,Jun-1975,1975,Provoked,USA,Florida,,N,,1975.06.00.c-stepped-on-shark.pdf
1975.05.25,25-May-1975,1975,Unprovoked,USA,Florida,Surfing,N,,1975.05.25-Bassett.pdf
1975.05.20,20-May 1975,1975,Unprovoked,USA,Florida,Bathing,N,,1975.05.20-Jones.pdf
1975.04.25,25-Apr-1975,1975,Invalid,ITALY,Genoa Province,Scuba diving,UNKNOWN,Invalid,1975.04.25-Sansoni.pdf
1975.04.18,18-Apr-1975,1975,Invalid,SOUTH AFRICA,KwaZulu-Natal,,UNKNOWN,Shark involvement prior to death was not confirmed,1975.04.18-IndianMale.pdf
1975.04.05,05-Apr-1975,1975,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing Competition,N,"White shark, 600-kg [1323-lb]",1975.04.05-Thompson.pdf
1975.03.29,29-Mar-1975,1975,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,UNKNOWN,Shark involvement prior to death was not confirmed,1975.03.29-Tongaat.pdf
1975.03.18,18-Mar-1975,1975,Unprovoked,AUSTRALIA,Queensland,,N,,1975.03.18-MorningtonIsland.pdf
1975.03.16,16-Mar-1975,1975,Unprovoked,USA,Florida,Floating in inner tube,N,10' shark,1975.03.16-Hodges.pdf
1975.03.13,13-Mar-1975,1975,Provoked,AUSTRALIA,Queensland,Diving & force-feeding the shark,N,"Bronze whaler shark, 6'",1975.03.13-Hookway.pdf
1975.03.09,09-Mar-1975,1975,Provoked,SOUTH AFRICA,Western Cape Province,Attempting to drag hooked shark ashore by its tail,N,1.5 m [5']  shark,1975.03.09-Swanepoel.pdf
1975.03.00,Mar-1975,1975,Sea Disaster,BANGLADESH,Ganges-Brahmaputra delta,Ferry capsized,Y,,1975.03.00-Bangladesh.pdf
1975.02.23,23-Feb-1975,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,N,1.5 m [5'] shark,1975.02.23-Jones.pdf
1975.02.14.R,Reported 14-Feb-1975,1975,Boat,SOUTH AFRICA,Western Cape Province,,N,"Mako shark, 3 m [10'] ",1975.02.14-Hobiecat.pdf
1975.02.10,10-Feb-1975,1975,Unprovoked,AUSTRALIA,South Australia,Swimming underwater from crayfish cage to a fishing bait,Y,"White shark, 3 m [10'] ",1975.02.10-Shipard.pdf
1975.02.09,09-Feb-1975,1975,Unprovoked,AUSTRALIA,Victoria,Crayfishing,N,"Carpet shark, 10' ",1975.02.09-Lear.pdf
1975.02.07,07-Feb-1975,1975,Unprovoked,AUSTRALIA,Queensland,,N,,1975.02.07-Worman.pdf
1975.02.01,01-Feb-1975,1975,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,N,"Copper shark, 50-kg [110-b] ",1975.02.01-Visser.pdf
